overall_rank,position,position_rank,name,team,auction_value,bye_week,source_last_update_date
1,RB,1,Jahmyr Gibbs,DET,,6,9/3/2026
2,RB,2,Bijan Robinson,ATL,,11,9/3/2026
3,WR,1,Ja'Marr Chase,CIN,,6,9/3/2026
4,WR,2,Puka Nacua,LAR,,11,9/3/2026
5,WR,3,Jaxon Smith-Njigba,SEA,,11,9/3/2026
6,WR,4,Amon-Ra St. Brown,DET,,6,9/3/2026
7,RB,3,Jonathan Taylor,IND,,13,9/3/2026
8,RB,4,Christian McCaffrey,SF,,8,9/3/2026
9,RB,5,James Cook III,BUF,,7,9/3/2026
10,WR,5,CeeDee Lamb,DAL,,14,9/3/2026
11,WR,6,Justin Jefferson,MIN,,6,9/3/2026
12,RB,6,Chase Brown,CIN,,6,9/3/2026
13,RB,7,Saquon Barkley,PHI,,10,9/3/2026
14,WR,7,A.J. Brown,NE,,11,9/3/2026
15,WR,8,Drake London,ATL,,11,9/3/2026
16,RB,8,De'Von Achane,MIA,,6,9/3/2026
17,RB,9,Omarion Hampton,LAC,,7,9/3/2026
18,RB,10,Kenneth Walker III,KC,,5,9/3/2026
19,WR,9,Nico Collins,HOU,,8,9/3/2026
20,TE,1,Brock Bowers,LV,,13,9/3/2026
21,RB,11,Derrick Henry,BAL,,13,9/3/2026
22,WR,10,George Pickens,DAL,,14,9/3/2026
23,RB,12,Ashton Jeanty,LV,,13,9/3/2026
24,WR,11,Chris Olave,NO,,8,9/3/2026
25,TE,2,Trey McBride,ARI,,14,9/3/2026
26,WR,12,Malik Nabers,NYG,,8,9/3/2026
27,WR,13,DeVonta Smith,PHI,,10,9/3/2026
28,QB,1,Josh Allen,BUF,,7,9/3/2026
29,WR,14,Rashee Rice,KC,,5,9/3/2026
30,WR,15,Zay Flowers,BAL,,13,9/3/2026
31,RB,13,Kyren Williams,LAR,,11,9/3/2026
32,RB,14,Javonte Williams,DAL,,14,9/3/2026
33,WR,16,Tee Higgins,CIN,,6,9/3/2026
34,RB,15,Breece Hall,NYJ,,13,9/3/2026
35,QB,2,Lamar Jackson,BAL,,13,9/3/2026
36,WR,17,Jaylen Waddle,DEN,,10,9/3/2026
37,WR,18,Ladd McConkey,LAC,,7,9/3/2026
38,WR,19,Garrett Wilson,NYJ,,13,9/3/2026
39,WR,20,Tetairoa McMillan,CAR,,5,9/3/2026
40,RB,16,Jeremiyah Love,ARI,,14,9/3/2026
41,TE,3,Colston Loveland,CHI,,10,9/3/2026
42,WR,21,Emeka Egbuka,TB,,10,9/3/2026
43,RB,17,Travis Etienne Jr.,NO,,8,9/3/2026
44,QB,3,Drake Maye,NE,,11,9/3/2026
45,RB,18,D'Andre Swift,CHI,,10,9/3/2026
46,WR,22,Terry McLaurin,WAS,,7,9/3/2026
47,WR,23,Davante Adams,LAR,,11,9/3/2026
48,WR,24,Luther Burden III,CHI,,10,9/3/2026
49,QB,4,Joe Burrow,CIN,,6,9/3/2026
50,WR,25,Jameson Williams,DET,,6,9/3/2026
51,RB,19,Bucky Irving,TB,,10,9/3/2026
52,TE,4,Tyler Warren,IND,,13,9/3/2026
53,RB,20,Cam Skattebo,NYG,,8,9/3/2026
54,RB,21,David Montgomery,HOU,,8,9/3/2026
55,WR,26,DJ Moore,BUF,,7,9/3/2026
56,RB,22,Quinshon Judkins,CLE,,11,9/3/2026
57,WR,27,Christian Watson,GB,,11,9/3/2026
58,WR,28,Rome Odunze,CHI,,10,9/3/2026
59,RB,23,Bhayshul Tuten,JAC,,7,9/3/2026
60,QB,5,Jalen Hurts,PHI,,10,9/3/2026
61,RB,24,Jadarian Price,SEA,,11,9/3/2026
62,QB,6,Jayden Daniels,WAS,,7,9/3/2026
63,WR,29,Mike Evans,SF,,8,9/3/2026
64,WR,30,Parker Washington,JAC,,7,9/3/2026
65,RB,25,TreVeyon Henderson,NE,,11,9/3/2026
66,QB,7,Caleb Williams,CHI,,10,9/3/2026
67,RB,26,Rhamondre Stevenson,NE,,11,9/3/2026
68,TE,5,Tucker Kraft,GB,,11,9/3/2026
69,RB,27,Jaylen Warren,PIT,,9,9/3/2026
