overall_rank,position,position_rank,name,team,auction_value,bye_week,source_last_update_date
1,RB,1,Jahmyr Gibbs,DET,,6,8/9/2026
2,RB,2,Bijan Robinson,ATL,,11,8/9/2026
3,WR,1,Ja'Marr Chase,CIN,,6,8/9/2026
4,WR,2,Puka Nacua,LAR,,11,8/9/2026
5,WR,3,Jaxon Smith-Njigba,SEA,,11,8/9/2026
6,WR,4,Amon-Ra St. Brown,DET,,6,8/9/2026
7,RB,3,Jonathan Taylor,IND,,13,8/9/2026
8,RB,4,Christian McCaffrey,SF,,8,8/9/2026
9,WR,5,CeeDee Lamb,DAL,,14,8/9/2026
10,RB,5,James Cook III,BUF,,7,8/9/2026
11,WR,6,Justin Jefferson,MIN,,6,8/9/2026
12,RB,6,Derrick Henry,BAL,,13,8/9/2026
13,WR,7,Nico Collins,HOU,,8,8/9/2026
14,WR,8,A.J. Brown,NE,,11,8/9/2026
15,WR,9,Drake London,ATL,,11,8/9/2026
16,RB,7,Saquon Barkley,PHI,,10,8/9/2026
17,TE,1,Brock Bowers,LV,,13,8/9/2026
18,WR,10,George Pickens,DAL,,14,8/9/2026
19,RB,8,Ashton Jeanty,LV,,13,8/9/2026
20,TE,2,Trey McBride,ARI,,14,8/9/2026
21,RB,9,Omarion Hampton,LAC,,7,8/9/2026
22,QB,1,Josh Allen,BUF,,7,8/9/2026
23,RB,10,Kenneth Walker III,KC,,5,8/9/2026
24,RB,11,Chase Brown,CIN,,6,8/9/2026
25,RB,12,De'Von Achane,MIA,,6,8/9/2026
26,WR,11,Rashee Rice,KC,,5,8/9/2026
27,WR,12,Chris Olave,NO,,8,8/9/2026
28,QB,2,Lamar Jackson,BAL,,13,8/9/2026
29,RB,13,Kyren Williams,LAR,,11,8/9/2026
30,WR,13,Zay Flowers,BAL,,13,8/9/2026
31,WR,14,DeVonta Smith,PHI,,10,8/9/2026
32,WR,15,Tee Higgins,CIN,,6,8/9/2026
33,QB,3,Drake Maye,NE,,11,8/9/2026
34,WR,16,Malik Nabers,NYG,,8,8/9/2026
35,RB,14,Josh Jacobs,GB,,11,8/9/2026
36,WR,17,Emeka Egbuka,TB,,10,8/9/2026
37,WR,18,Tetairoa McMillan,CAR,,5,8/9/2026
38,RB,15,Javonte Williams,DAL,,14,8/9/2026
39,TE,3,Colston Loveland,CHI,,10,8/9/2026
40,RB,16,Breece Hall,NYJ,,13,8/9/2026
41,RB,17,Jeremiyah Love,ARI,,14,8/9/2026
42,QB,4,Joe Burrow,CIN,,6,8/9/2026
43,WR,19,Ladd McConkey,LAC,,7,8/9/2026
44,WR,20,Davante Adams,LAR,,11,8/9/2026
45,WR,21,Jameson Williams,DET,,6,8/9/2026
46,WR,22,Jaylen Waddle,DEN,,10,8/9/2026
47,WR,23,Terry McLaurin,WAS,,7,8/9/2026
48,WR,24,Christian Watson,GB,,11,8/9/2026
49,RB,18,Travis Etienne Jr.,NO,,8,8/9/2026
50,QB,5,Jayden Daniels,WAS,,7,8/9/2026
51,RB,19,Cam Skattebo,NYG,,8,8/9/2026
52,WR,25,Garrett Wilson,NYJ,,13,8/9/2026
53,WR,26,Mike Evans,SF,,8,8/9/2026
54,RB,20,Quinshon Judkins,CLE,,11,8/9/2026
55,RB,21,D'Andre Swift,CHI,,10,8/9/2026
56,QB,6,Jalen Hurts,PHI,,10,8/9/2026
57,WR,27,Luther Burden III,CHI,,10,8/9/2026
58,WR,28,Rome Odunze,CHI,,10,8/9/2026
59,RB,22,Bucky Irving,TB,,10,8/9/2026
60,RB,23,David Montgomery,HOU,,8,8/9/2026
61,TE,4,Tucker Kraft,GB,,11,8/9/2026
62,RB,24,TreVeyon Henderson,NE,,11,8/9/2026
63,WR,29,DJ Moore,BUF,,7,8/9/2026
64,RB,25,Bhayshul Tuten,JAC,,7,8/9/2026
65,TE,5,Tyler Warren,IND,,13,8/9/2026
66,RB,26,Jadarian Price,SEA,,11,8/9/2026
67,QB,7,Caleb Williams,CHI,,10,8/9/2026
68,QB,8,Justin Herbert,LAC,,7,8/9/2026
69,WR,30,Marvin Harrison Jr.,ARI,,14,8/9/2026
70,WR,31,Brian Thomas Jr.,JAC,,7,8/9/2026
71,WR,32,Carnell Tate,TEN,,9,8/9/2026
72,RB,27,Tony Pollard,TEN,,9,8/9/2026
73,RB,28,Jaylen Warren,PIT,,9,8/9/2026
74,QB,9,Trevor Lawrence,JAC,,7,8/9/2026
75,WR,33,Alec Pierce,IND,,13,8/9/2026
76,WR,34,DK Metcalf,PIT,,9,8/9/2026
77,TE,6,Sam LaPorta,DET,,6,8/9/2026
78,QB,10,Dak Prescott,DAL,,14,8/9/2026
