overall_rank,position,position_rank,name,team,auction_value,bye_week,source_last_update_date
1,RB,1,Jahmyr Gibbs,DET,57,6,9/2/2026
2,RB,2,Bijan Robinson,ATL,56,11,9/2/2026
3,WR,1,Ja'Marr Chase,CIN,56,6,9/2/2026
4,WR,2,Puka Nacua,LAR,55,11,9/2/2026
5,RB,3,Jonathan Taylor,IND,54,13,9/2/2026
6,WR,3,Jaxon Smith-Njigba,SEA,53,11,9/2/2026
7,RB,4,Christian McCaffrey,SF,52,8,9/2/2026
8,WR,4,Amon-Ra St. Brown,DET,52,6,9/2/2026
9,RB,5,James Cook III,BUF,51,7,9/2/2026
10,WR,5,CeeDee Lamb,DAL,50,14,9/2/2026
11,WR,6,Justin Jefferson,MIN,48,6,9/2/2026
12,RB,6,De'Von Achane,MIA,46,6,9/2/2026
13,RB,7,Omarion Hampton,LAC,45,7,9/2/2026
14,RB,8,Chase Brown,CIN,43,6,9/2/2026
15,RB,9,Saquon Barkley,PHI,42,10,9/2/2026
16,RB,10,Derrick Henry,BAL,40,13,9/2/2026
17,RB,11,Ashton Jeanty,LV,38,13,9/2/2026
18,WR,7,Drake London,ATL,37,11,9/2/2026
19,RB,12,Jeremiyah Love,ARI,36,14,9/2/2026
20,WR,8,A.J. Brown,NE,35,11,9/2/2026
21,TE,1,Trey McBride,ARI,34,14,9/2/2026
22,TE,2,Brock Bowers,LV,33,13,9/2/2026
23,WR,9,Nico Collins,HOU,32,8,9/2/2026
24,WR,10,Chris Olave,NO,32,8,9/2/2026
25,WR,11,Rashee Rice,KC,31,5,9/2/2026
26,QB,1,Josh Allen,BUF,30,7,9/2/2026
27,WR,12,George Pickens,DAL,30,14,9/2/2026
28,RB,13,Kenneth Walker III,KC,29,5,9/2/2026
29,WR,13,Garrett Wilson,NYJ,28,13,9/2/2026
30,RB,14,Breece Hall,NYJ,27,13,9/2/2026
31,RB,15,Javonte Williams,DAL,26,14,9/2/2026
32,RB,16,Kyren Williams,LAR,25,11,9/2/2026
33,WR,14,Malik Nabers,NYG,24,8,9/2/2026
34,WR,15,DeVonta Smith,PHI,23,10,9/2/2026
35,RB,17,Travis Etienne Jr.,NO,22,8,9/2/2026
36,WR,16,Tetairoa McMillan,CAR,22,5,9/2/2026
37,WR,17,Zay Flowers,BAL,22,13,9/2/2026
38,WR,18,Emeka Egbuka,TB,21,10,9/2/2026
39,RB,18,Quinshon Judkins,CLE,21,11,9/2/2026
40,WR,19,Ladd McConkey,LAC,20,7,9/2/2026
41,WR,20,Tee Higgins,CIN,19,6,9/2/2026
42,TE,3,Colston Loveland,CHI,19,10,9/2/2026
43,QB,2,Lamar Jackson,BAL,18,13,9/2/2026
44,WR,21,Davante Adams,LAR,17,11,9/2/2026
45,RB,19,Cam Skattebo,NYG,17,8,9/2/2026
46,RB,20,D'Andre Swift,CHI,15,10,9/2/2026
47,RB,21,Bhayshul Tuten,JAC,15,7,9/2/2026
48,WR,22,Jaylen Waddle,DEN,14,10,9/2/2026
49,RB,22,Bucky Irving,TB,13,10,9/2/2026
50,WR,23,Terry McLaurin,WAS,13,7,9/2/2026
51,WR,24,DJ Moore,BUF,12,7,9/2/2026
52,TE,4,Tyler Warren,IND,11,13,9/2/2026
53,WR,25,Jameson Williams,DET,11,6,9/2/2026
54,WR,26,Rome Odunze,CHI,10,10,9/2/2026
55,QB,3,Jayden Daniels,WAS,10,7,9/2/2026
56,QB,4,Drake Maye,NE,10,11,9/2/2026
57,RB,23,David Montgomery,HOU,10,8,9/2/2026
58,RB,24,Jadarian Price,SEA,9,11,9/2/2026
59,WR,27,Luther Burden III,CHI,9,10,9/2/2026
60,RB,25,TreVeyon Henderson,NE,9,11,9/2/2026
61,WR,28,Carnell Tate,TEN,8,9,9/2/2026
62,WR,29,Mike Evans,SF,8,8,9/2/2026
63,WR,30,Marvin Harrison Jr.,ARI,8,14,9/2/2026
64,QB,5,Joe Burrow,CIN,7,6,9/2/2026
65,RB,26,Rhamondre Stevenson,NE,7,11,9/2/2026
66,QB,6,Jalen Hurts,PHI,7,10,9/2/2026
67,WR,31,Michael Pittman Jr.,PIT,7,9,9/2/2026
68,RB,27,Tony Pollard,TEN,6,9,9/2/2026
69,TE,5,Harold Fannin Jr.,CLE,6,11,9/2/2026
70,TE,6,Kyle Pitts Sr.,ATL,6,11,9/2/2026
71,WR,32,DK Metcalf,PIT,6,9,9/2/2026
72,TE,7,George Kittle,SF,6,8,9/2/2026
73,WR,33,Courtland Sutton,DEN,6,10,9/2/2026
74,WR,34,Christian Watson,GB,5,11,9/2/2026
75,QB,7,Dak Prescott,DAL,5,14,9/2/2026
76,WR,35,Parker Washington,JAC,5,7,9/2/2026
77,RB,28,Jaylen Warren,PIT,5,9,9/2/2026
78,TE,8,Sam LaPorta,DET,4,6,9/2/2026
79,RB,29,Kenny Gainwell,TB,4,10,9/2/2026
80,QB,8,Jaxson Dart,NYG,4,8,9/2/2026
81,RB,30,Josh Jacobs,GB,4,11,9/2/2026
82,WR,36,Wan'Dale Robinson,TEN,4,9,9/2/2026
83,RB,31,Jonathon Brooks,CAR,4,5,9/2/2026
84,QB,9,Justin Herbert,LAC,4,7,9/2/2026
85,WR,37,Michael Wilson,ARI,4,14,9/2/2026
86,RB,32,MarShawn Lloyd,GB,4,11,9/2/2026
87,QB,10,Caleb Williams,CHI,3,10,9/2/2026
88,RB,33,Rico Dowdle,PIT,3,9,9/2/2026
89,WR,38,Stefon Diggs,WAS,3,7,9/2/2026
90,WR,39,Alec Pierce,IND,3,13,9/2/2026
91,TE,9,Tucker Kraft,GB,3,11,9/2/2026
92,RB,34,Chuba Hubbard,CAR,3,5,9/2/2026
93,WR,40,Jakobi Meyers,JAC,3,7,9/2/2026
94,QB,11,Trevor Lawrence,JAC,3,7,9/2/2026
95,RB,35,Aaron Jones Sr.,MIN,3,6,9/2/2026
96,WR,41,Brian Thomas Jr.,JAC,2,7,9/2/2026
97,K,1,Brandon Aubrey,DAL,1,14,9/2/2026
98,QB,12,Brock Purdy,SF,2,8,9/2/2026
99,RB,36,Rachaad White,WAS,2,7,9/2/2026
100,RB,37,J.K. Dobbins,DEN,2,10,9/2/2026
101,RB,38,Kyle Monangai,CHI,2,10,9/2/2026
102,TE,10,Travis Kelce,KC,2,5,9/2/2026
103,WR,42,Matthew Golden,GB,2,11,9/2/2026
104,WR,43,Chris Godwin Jr.,TB,2,10,9/2/2026
105,WR,44,Jordan Addison,MIN,2,6,9/2/2026
106,WR,45,Josh Downs,IND,2,13,9/2/2026
107,TE,11,Dallas Goedert,PHI,2,10,9/2/2026
108,RB,39,RJ Harvey,DEN,2,10,9/2/2026
109,QB,13,Patrick Mahomes,KC,2,5,9/2/2026
110,WR,46,Khalil Shakir,BUF,2,7,9/2/2026
111,RB,40,Blake Corum,LAR,2,11,9/2/2026
112,QB,14,Bo Nix,DEN,2,10,9/2/2026
113,QB,15,Matthew Stafford,LAR,2,11,9/2/2026
114,TE,12,Jake Ferguson,DAL,2,14,9/2/2026
115,WR,47,Makai Lemon,PHI,2,10,9/2/2026
116,TE,13,Isaiah Likely,NYG,2,8,9/2/2026
117,WR,48,Quentin Johnston,LAC,2,7,9/2/2026
118,RB,41,Jacory Croskey-Merritt,WAS,2,7,9/2/2026
119,WR,49,Jayden Reed,GB,2,11,9/2/2026
120,TE,14,Mark Andrews,BAL,2,13,9/2/2026
121,WR,50,De'Zhaun Stribling,SF,1,8,9/2/2026
122,QB,16,Kyler Murray,MIN,1,6,9/2/2026
123,WR,51,Xavier Worthy,KC,1,5,9/2/2026
124,WR,52,Romeo Doubs,NE,1,11,9/2/2026
125,WR,53,Jalen Coker,CAR,1,5,9/2/2026
126,TE,15,Dalton Kincaid,BUF,1,7,9/2/2026
127,RB,42,Tyjae Spears,TEN,1,9,9/2/2026
128,K,2,Cameron Dicker,LAC,1,7,9/2/2026
129,QB,17,Tyler Shough,NO,1,8,9/2/2026
130,RB,43,Jordan Mason,MIN,1,6,9/2/2026
131,WR,54,Deebo Samuel Sr.,SF,1,8,9/2/2026
132,QB,18,Jared Goff,DET,1,6,9/2/2026
133,RB,44,Woody Marks,HOU,1,8,9/2/2026
134,K,3,Jason Myers,SEA,1,11,9/2/2026
135,WR,55,KC Concepcion,CLE,1,11,9/2/2026
136,WR,56,Jalen McMillan,TB,1,10,9/2/2026
137,WR,57,Tank Dell,HOU,1,8,9/2/2026
138,DST,1,Texans D/ST,HOU,1,8,9/2/2026
139,RB,45,Zach Charbonnet,SEA,1,11,9/2/2026
140,DST,2,Broncos D/ST,DEN,1,10,9/2/2026
141,RB,46,Jonah Coleman,DEN,0,10,9/2/2026
142,QB,19,Baker Mayfield,TB,0,10,9/2/2026
143,K,4,Ka'imi Fairbairn,HOU,1,8,9/2/2026
144,RB,47,Isiah Pacheco,DET,0,6,9/2/2026
145,RB,48,Chris Rodriguez Jr.,JAC,0,7,9/2/2026
146,K,5,Harrison Mevis,LAR,1,11,9/2/2026
147,QB,20,Daniel Jones,IND,0,13,9/2/2026
148,TE,16,Juwan Johnson,NO,0,8,9/2/2026
149,RB,49,Alvin Kamara,NO,0,8,9/2/2026
150,RB,50,Tyler Allgeier,ARI,0,14,9/2/2026
151,RB,51,Mike Washington Jr.,LV,0,13,9/2/2026
152,RB,52,Dylan Sampson,CLE,0,11,9/2/2026
153,TE,17,Hunter Henry,NE,0,11,9/2/2026
154,TE,18,T.J. Hockenson,MIN,0,6,9/2/2026
155,RB,53,Keaton Mitchell,LAC,0,7,9/2/2026
156,WR,58,Keenan Allen,IND,0,13,9/2/2026
157,RB,54,Samaje Perine,CIN,0,6,9/2/2026
158,K,6,Eddy Pineiro,SF,1,8,9/2/2026
159,QB,21,Jordan Love,GB,0,11,9/2/2026
160,RB,55,Brian Robinson Jr.,ATL,0,11,9/2/2026
161,TE,19,Terrance Ferguson,LAR,0,11,9/2/2026
162,WR,59,Rashid Shaheed,SEA,0,11,9/2/2026
163,WR,60,Denzel Boston,CLE,0,11,9/2/2026
164,WR,61,Jerry Jeudy,CLE,0,11,9/2/2026
