# updated: 2026-07-07 (sample data — replace with your latest sheet)
rank,name,pos,team,bye
1,Ja'Marr Chase,WR,CIN,10
2,Bijan Robinson,RB,ATL,5
3,Saquon Barkley,RB,PHI,9
4,Jahmyr Gibbs,RB,DET,8
5,Justin Jefferson,WR,MIN,6
6,CeeDee Lamb,WR,DAL,10
7,Puka Nacua,WR,LAR,8
8,Malik Nabers,WR,NYG,14
9,Christian McCaffrey,RB,SF,14
10,Amon-Ra St. Brown,WR,DET,8
11,De'Von Achane,RB,MIA,12
12,Ashton Jeanty,RB,LV,8
13,Nico Collins,WR,HOU,6
14,Brian Thomas Jr.,WR,JAX,8
15,Derrick Henry,RB,BAL,7
16,A.J. Brown,WR,PHI,9
17,Drake London,WR,ATL,5
18,Josh Jacobs,RB,GB,5
19,Bucky Irving,RB,TB,9
20,Chase Brown,RB,CIN,10
21,Kyren Williams,RB,LAR,8
22,Ladd McConkey,WR,LAC,12
23,Brock Bowers,TE,LV,8
24,Trey McBride,TE,ARI,8
25,Tee Higgins,WR,CIN,10
26,Jaxon Smith-Njigba,WR,SEA,8
27,James Cook,RB,BUF,7
28,Tyreek Hill,WR,MIA,12
29,Terry McLaurin,WR,WAS,12
30,Davante Adams,WR,LAR,8
31,Josh Allen,QB,BUF,7
32,Lamar Jackson,QB,BAL,7
33,Omarion Hampton,RB,LAC,12
34,Kenneth Walker III,RB,SEA,8
35,Garrett Wilson,WR,NYJ,9
36,Marvin Harrison Jr.,WR,ARI,8
37,Jayden Daniels,QB,WAS,12
38,Breece Hall,RB,NYJ,9
39,Alvin Kamara,RB,NO,11
40,Jalen Hurts,QB,PHI,9
41,Chuba Hubbard,RB,CAR,14
42,James Conner,RB,ARI,8
43,Mike Evans,WR,TB,9
44,DK Metcalf,WR,PIT,5
45,DJ Moore,WR,CHI,5
46,Xavier Worthy,WR,KC,10
47,Courtland Sutton,WR,DEN,12
48,Zay Flowers,WR,BAL,7
49,Joe Burrow,QB,CIN,10
50,TreVeyon Henderson,RB,NE,14
51,RJ Harvey,RB,DEN,12
52,Kaleb Johnson,RB,PIT,5
53,Quinshon Judkins,RB,CLE,9
54,George Kittle,TE,SF,14
55,Rashee Rice,WR,KC,10
56,Jameson Williams,WR,DET,8
57,Tetairoa McMillan,WR,CAR,14
58,Travis Hunter,WR,JAX,8
59,Rome Odunze,WR,CHI,5
60,Calvin Ridley,WR,TEN,10
61,Aaron Jones,RB,MIN,6
62,Joe Mixon,RB,HOU,6
63,D'Andre Swift,RB,CHI,5
64,David Montgomery,RB,DET,8
65,Isiah Pacheco,RB,KC,10
66,Tony Pollard,RB,TEN,10
67,Sam LaPorta,TE,DET,8
68,T.J. Hockenson,TE,MIN,6
69,Jaylen Waddle,WR,MIA,12
70,Chris Godwin,WR,TB,9
71,Jerry Jeudy,WR,CLE,9
72,Patrick Mahomes,QB,KC,10
73,Baker Mayfield,QB,TB,9
74,Kyler Murray,QB,ARI,8
75,Bo Nix,QB,DEN,12
76,Brock Purdy,QB,SF,14
77,Justin Herbert,QB,LAC,12
78,Jordan Addison,WR,MIN,6
79,Chris Olave,WR,NO,11
80,Stefon Diggs,WR,NE,14
81,Cooper Kupp,WR,SEA,8
82,Khalil Shakir,WR,BUF,7
83,Jakobi Meyers,WR,LV,8
84,Josh Downs,WR,IND,11
85,Michael Pittman Jr.,WR,IND,11
86,Deebo Samuel,WR,WAS,12
87,Jauan Jennings,WR,SF,14
88,Ricky Pearsall,WR,SF,14
89,Jayden Reed,WR,GB,5
90,Matthew Golden,WR,GB,5
91,Emeka Egbuka,WR,TB,9
92,Keon Coleman,WR,BUF,7
93,Luther Burden III,WR,CHI,5
94,Jayden Higgins,WR,HOU,6
95,Darnell Mooney,WR,ATL,5
96,Rashid Shaheed,WR,NO,11
97,Marquise Brown,WR,KC,10
98,Cedric Tillman,WR,CLE,9
99,Travis Kelce,TE,KC,10
100,David Njoku,TE,CLE,9
101,Evan Engram,TE,DEN,12
102,Mark Andrews,TE,BAL,7
103,Tucker Kraft,TE,GB,5
104,Jake Ferguson,TE,DAL,10
105,Tyler Warren,TE,IND,11
106,Colston Loveland,TE,CHI,5
107,Dalton Kincaid,TE,BUF,7
108,Kyle Pitts,TE,ATL,5
109,Dallas Goedert,TE,PHI,9
110,Hunter Henry,TE,NE,14
111,Zach Ertz,TE,WAS,12
112,Caleb Williams,QB,CHI,5
113,Drake Maye,QB,NE,14
114,Justin Fields,QB,NYJ,9
115,Dak Prescott,QB,DAL,10
116,Jordan Love,QB,GB,5
117,C.J. Stroud,QB,HOU,6
118,Tua Tagovailoa,QB,MIA,12
119,J.J. McCarthy,QB,MIN,6
120,Trevor Lawrence,QB,JAX,8
121,Javonte Williams,RB,DAL,10
122,Jaylen Warren,RB,PIT,5
123,Tyrone Tracy Jr.,RB,NYG,14
124,Jordan Mason,RB,MIN,6
125,Rhamondre Stevenson,RB,NE,14
126,Zach Charbonnet,RB,SEA,8
127,Najee Harris,RB,LAC,12
128,J.K. Dobbins,RB,DEN,12
129,Nick Chubb,RB,HOU,6
130,Austin Ekeler,RB,WAS,12
131,Tank Bigsby,RB,JAX,8
132,Tyjae Spears,RB,TEN,10
133,Ray Davis,RB,BUF,7
134,Rachaad White,RB,TB,9
135,Jerome Ford,RB,CLE,9
136,Braelon Allen,RB,NYJ,9
137,Cam Skattebo,RB,NYG,14
138,Trey Benson,RB,ARI,8
139,Isaac Guerendo,RB,SF,14
140,Tyler Allgeier,RB,ATL,5
141,Rico Dowdle,RB,CAR,14
142,Bhayshul Tuten,RB,JAX,8
143,Dylan Sampson,RB,CLE,9
144,Jacory Croskey-Merritt,RB,WAS,12
145,Brandon Aubrey,K,DAL,10
146,Jake Bates,K,DET,8
147,Cameron Dicker,K,LAC,12
148,Chris Boswell,K,PIT,5
149,Ka'imi Fairbairn,K,HOU,6
150,Tyler Bass,K,BUF,7
151,Harrison Butker,K,KC,10
152,Chase McLaughlin,K,TB,9
153,Wil Lutz,K,DEN,12
154,Jason Sanders,K,MIA,12
155,Ravens D/ST,DST,BAL,7
156,Broncos D/ST,DST,DEN,12
157,Eagles D/ST,DST,PHI,9
158,Steelers D/ST,DST,PIT,5
159,Texans D/ST,DST,HOU,6
160,Bills D/ST,DST,BUF,7
161,Vikings D/ST,DST,MIN,6
162,Packers D/ST,DST,GB,5
163,Chiefs D/ST,DST,KC,10
164,Lions D/ST,DST,DET,8
